2026-02-11 07:48:12 | INFO     | Starting monitor loop with 10s interval
2026-02-11 07:48:12 | INFO     | Starting monitoring cycle...
2026-02-11 07:48:12 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:48:12 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:48:12 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:48:13 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:14 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:48:15 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:48:21 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:48:21 | INFO     | Monitoring cycle completed
2026-02-11 07:48:21 | DEBUG    | Sleeping for 1.2s...
2026-02-11 07:48:22 | INFO     | Starting monitoring cycle...
2026-02-11 07:48:22 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:48:22 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:48:22 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:48:23 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:23 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:25 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:48:26 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:48:29 | WARNING  | Rate limited (429). Retrying in 8s...
2026-02-11 07:48:39 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:48:39 | INFO     | Monitoring cycle completed
2026-02-11 07:48:39 | INFO     | Starting monitoring cycle...
2026-02-11 07:48:39 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:48:39 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:48:39 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:48:39 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:39 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:41 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:48:41 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:48:46 | WARNING  | Rate limited (429). Retrying in 8s...
2026-02-11 07:48:48 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:48:55 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:48:55 | INFO     | Monitoring cycle completed
2026-02-11 07:48:55 | INFO     | Starting monitoring cycle...
2026-02-11 07:48:55 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:48:55 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:48:55 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:48:55 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:55 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:48:58 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:48:58 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:49:02 | WARNING  | Rate limited (429). Retrying in 8s...
2026-02-11 07:49:07 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:49:12 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:49:12 | INFO     | Monitoring cycle completed
2026-02-11 07:49:12 | INFO     | Starting monitoring cycle...
2026-02-11 07:49:12 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:49:12 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:49:12 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:49:12 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:49:12 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:49:14 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:49:14 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:49:18 | WARNING  | Rate limited (429). Retrying in 8s...
2026-02-11 07:49:19 | INFO     | Shutdown signal received, stopping...
2026-02-11 07:49:26 | INFO     | Starting monitor loop with 15s interval
2026-02-11 07:49:26 | INFO     | Starting monitoring cycle...
2026-02-11 07:49:26 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:49:26 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:49:26 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:49:26 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:49:27 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:49:28 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:49:34 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:49:34 | INFO     | Monitoring cycle completed
2026-02-11 07:49:34 | DEBUG    | Sleeping for 6.7s...
2026-02-11 07:49:41 | INFO     | Starting monitoring cycle...
2026-02-11 07:49:41 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:49:41 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:49:41 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:49:41 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:49:43 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:49:43 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:49:49 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:49:49 | INFO     | Monitoring cycle completed
2026-02-11 07:49:49 | DEBUG    | Sleeping for 6.5s...
2026-02-11 07:49:56 | INFO     | Starting monitoring cycle...
2026-02-11 07:49:56 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:49:56 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:49:56 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:49:56 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:49:57 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:49:58 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:50:04 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:50:04 | INFO     | Monitoring cycle completed
2026-02-11 07:50:04 | DEBUG    | Sleeping for 6.5s...
2026-02-11 07:50:11 | INFO     | Starting monitoring cycle...
2026-02-11 07:50:11 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:50:11 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:50:11 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:50:11 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:50:13 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:50:16 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:50:19 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:50:19 | INFO     | Monitoring cycle completed
2026-02-11 07:50:19 | DEBUG    | Sleeping for 6.6s...
2026-02-11 07:50:26 | INFO     | Starting monitoring cycle...
2026-02-11 07:50:26 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:50:26 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:50:26 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:50:26 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:50:28 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:50:28 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:50:31 | INFO     | Shutdown signal received, stopping...
2026-02-11 07:50:33 | INFO     | Starting monitor loop with 20s interval
2026-02-11 07:50:33 | INFO     | Starting monitoring cycle...
2026-02-11 07:50:33 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:50:33 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:50:33 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:50:33 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:50:36 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:50:36 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:50:42 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:50:42 | INFO     | Monitoring cycle completed
2026-02-11 07:50:42 | DEBUG    | Sleeping for 11.1s...
2026-02-11 07:50:53 | INFO     | Starting monitoring cycle...
2026-02-11 07:50:53 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:50:53 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:50:53 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:50:53 | WARNING  | Rate limited (429). Retrying in 2s...
2026-02-11 07:50:55 | WARNING  | Rate limited (429). Retrying in 4s...
2026-02-11 07:50:58 | DEBUG    | No new tweets for @jaro3th
2026-02-11 07:51:02 | DEBUG    | No new tweets for @elonmusk
2026-02-11 07:51:02 | INFO     | Monitoring cycle completed
2026-02-11 07:51:02 | DEBUG    | Sleeping for 11.5s...
2026-02-11 07:51:13 | INFO     | Starting monitoring cycle...
2026-02-11 07:51:13 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:51:13 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:51:13 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:51:13 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:13 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:13 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:51:13 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=elonmusk&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:13 | ERROR    | Failed to fetch tweets for @elonmusk: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=elonmusk&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:13 | DEBUG    | No tweets found for @elonmusk
2026-02-11 07:51:13 | INFO     | Monitoring cycle completed
2026-02-11 07:51:13 | DEBUG    | Sleeping for 19.8s...
2026-02-11 07:51:33 | INFO     | Starting monitoring cycle...
2026-02-11 07:51:33 | INFO     | Monitoring 2 user(s)...
2026-02-11 07:51:33 | DEBUG    | Processing user: @elonmusk
2026-02-11 07:51:33 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:51:33 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:33 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:33 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:51:33 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=elonmusk&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:33 | ERROR    | Failed to fetch tweets for @elonmusk: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=elonmusk&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:33 | DEBUG    | No tweets found for @elonmusk
2026-02-11 07:51:33 | INFO     | Monitoring cycle completed
2026-02-11 07:51:33 | DEBUG    | Sleeping for 19.8s...
2026-02-11 07:51:41 | INFO     | Shutdown signal received, stopping...
2026-02-11 07:51:41 | INFO     | Monitor loop stopped
2026-02-11 07:51:48 | INFO     | Starting monitor loop with 30s interval
2026-02-11 07:51:48 | INFO     | Starting monitoring cycle...
2026-02-11 07:51:48 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:51:48 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:51:48 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:48 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:51:48 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:51:48 | INFO     | Monitoring cycle completed
2026-02-11 07:51:48 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:52:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:52:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:52:18 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:52:18 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:52:18 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:52:18 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:52:18 | INFO     | Monitoring cycle completed
2026-02-11 07:52:18 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:52:48 | INFO     | Starting monitoring cycle...
2026-02-11 07:52:48 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:52:48 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:52:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:52:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:52:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:52:49 | INFO     | Monitoring cycle completed
2026-02-11 07:52:49 | DEBUG    | Sleeping for 29.6s...
2026-02-11 07:53:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:53:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:53:18 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:53:18 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:53:18 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:53:18 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:53:18 | INFO     | Monitoring cycle completed
2026-02-11 07:53:18 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:53:48 | INFO     | Starting monitoring cycle...
2026-02-11 07:53:48 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:53:48 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:53:48 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:53:48 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:53:48 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:53:48 | INFO     | Monitoring cycle completed
2026-02-11 07:53:48 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:54:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:54:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:54:18 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:54:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:54:19 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:54:19 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:54:19 | INFO     | Monitoring cycle completed
2026-02-11 07:54:19 | DEBUG    | Sleeping for 29.6s...
2026-02-11 07:54:48 | INFO     | Starting monitoring cycle...
2026-02-11 07:54:48 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:54:48 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:54:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:54:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:54:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:54:49 | INFO     | Monitoring cycle completed
2026-02-11 07:54:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:55:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:55:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:55:18 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:55:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:55:19 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:55:19 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:55:19 | INFO     | Monitoring cycle completed
2026-02-11 07:55:19 | DEBUG    | Sleeping for 29.7s...
2026-02-11 07:55:48 | INFO     | Starting monitoring cycle...
2026-02-11 07:55:48 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:55:48 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:55:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:55:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:55:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:55:49 | INFO     | Monitoring cycle completed
2026-02-11 07:55:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:56:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:56:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:56:18 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:56:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
